Part,Price,Link
4 Motors ,$36.99,https://www.amazon.com/Readytosky-RS2205-2300KV-Brushless-Multicopter/dp/B088NGCZ64/ref=sr_1_6?crid=31Z734X9UH67D&dib=eyJ2IjoiMSJ9.dVvmOEUbZEOEfdTOGfB10oQBqAbQSA7xR2qeTTwVjVDaA686Yz-EmtMqvsKsYvMBkhRoJsyCoRGBI3N8DDzvvdVYllx0CpY2WFYnhxcE7Mdc4hjjwmpfx4hZvUnXbW_vqYCAdYjRUtflp-AHeKuXprDE3v2pGYTLNTN11Q5NzM-IWVAnPFA_gVTDtcDuYVHmClfUBSrIzltrdMMfCDF0JoFBx_u1aGFUdrlN53aEbtCfpgUv5pobCbvBXDvy8IeATuDnxILri0LTQT65Bow573RA6zbBFCf_8ycYve8Lw0c.LVzHZkra32kXC25BIDjPmVGG5dqJY9e-0Pqr5VcV7dM&dib_tag=se&keywords=drone+motor&qid=1769451593&sprefix=drone+motor%2Caps%2C142&sr=8-6
Speed Controller ,$39.99,"https://www.amazon.com/Brushless-Controller-Airplanes-Multi-axis-Helicopter/dp/B0CN317H74?crid=1M4VPGWYKJYOJ&dib=eyJ2IjoiMSJ9.EMYF7ew4cOnOGhEqbdN5Sk7g6RJLEYSojrcq_2Qlnrc-4b5fbbh6B-Hgv3-vB2GyiTsgtU7rYECoQOUN9bsB9Wu1gSo7W6dnCppoAlNWG4luAHBgM1AQDaEYm6AEPgi3kZXb2ylC8dsnxp3-iLUGZI-DVMBtKGyrze_5u8MYE-d7UstPaXn4S-qFl1yTdUYfp8I7tBl5LgLZYLwoVtUqBmHgbslbEymZMmZBuX_DQFYC7B4cLrdGmg3ACXHl7ACdksA0TAsU8V67o4_1986MLswPdTQyLx_mXXGM2gGBmWg.fgO_ELdhoZWRQuqY671f1ekRxhE1qa5PhIfGNxxnEVg&dib_tag=se&keywords=40a+esc&qid=1759392174&sprefix=40a+es,aps,122&sr=8-1&linkCode=sl1&tag=feelalive0c4-20&linkId=82368aa811ae1900af448dccfeba46d1&language=en_US&ref_=as_li_ss_tl"
Propellers ,$8.99,https://www.amazon.com/skrnrhrery-Propeller-Quadcopter-Resistant-Accessories/dp/B0B2CRTXT8/ref=cm_cr_arp_d_product_top?ie=UTF8
Flight Controller,$106.03,https://www.amazon.com/SpeedyBee-Controller-Bluetooth-Compatible-Airplane/dp/B0D1Y813WK/ref=sr_1_2?crid=8CN6QBGPTCSA&dib=eyJ2IjoiMSJ9.vexg-KpVsBU2t-4nosgPUOBKZz4guYhFiJ3CRWeXKHsWjR3uEy6Opy6JqxOpQQjRUCNNjIx9wlajnD9fyOdH_zg1aYVc_Uxeqs5ZOJ_Y4LXQzFFoJeyDQKtA-XxQkdEZz_XUO2yoHUgeicSJgwc9R9b3InDF8_RNBEG577kCmQF4-LMPVCkemsifanAnwFljGo5FCWjTrdChPdJTKquw327aBq-iD-H3ZMkIM7TEqao5bUZ_yjlUgWZ455N1ryDS_HtajiFhCCDRYP7sj7ZJYYWENcuitx2StyA0JhgGdGQ.IF9hLaXbouZ8FHgAVl2C0EvRA1exdXDW7YNFPWm3Tjk&dib_tag=se&keywords=speedybee+f405+wing+mini&qid=1769451993&sprefix=%2Caps%2C136&sr=8-2
Lidar ,$24.99,https://www.amazon.com/Wishiot-TF-Luna-Single-Point-Terminal-WiFi_Lora_32/dp/B09PZ559ZB/ref=sr_1_3?crid=3UA4YPO667L67&dib=eyJ2IjoiMSJ9.Xt06c420HLi9fmQ-vSudg-x6mTZjpINjf9zWHVH0Hua3dJZqAi0HmAYeq9zHObeadoi3e99WU4pxL0kbLBCmHOsxmaecsnQxptaewJEXOfrueM1yRhVyC_L9Kx27QsE1L9g-9EtltwI1FAyhGXIPi6aeJTh-xPTu1TL1dL0IeE-82A0Bztcqp1A1rk2uHIs75tynZ_OdN8NuFGcdgLh619cDwEybFqNe6DgnRO2uGMs.aSbxuNFgMJrCWyVIuYliuS0DfT6L8bomCGtYxjHrVYo&dib_tag=se&keywords=TF-Luna+LiDAR&qid=1769452397&sprefix=tf-luna+lidar%2Caps%2C153&sr=8-3
Battery ,$35.99,https://www.amazon.com/Zeee-Batteries-Dean-Style-Connector-Vehicles/dp/B076Z778MJ/ref=sr_1_1_sspa?crid=2V06VL6B7X441&dib=eyJ2IjoiMSJ9.aw692XtkPMRhlXnP5HkoK7GTQ5-ZNDpsLGjlrEmgi8h5twAmEdcxa-FkBbayG7uhb8J0ZtUAM8OB8fgGKI4Kj9II_Vx15Ryif-qyrMdj3f9iYkmWqjhcfmDNugW_T07NcvMwVExlgxJxGVoJ7VWDsyD_V__9kg8p4ycOj96yn6Yq-QuBMSLgtpVNyvVKCvSDUbdlGNLHRw-e6BJptJhRPQx596OxafNmqHHoaoNc8tF3sB2s-1JYCmCvbG0_8x7M-WFCzVNqf_QuT-vseqxJW7lj7K3WiO3M8zBbCEWguGw.XF1m7jU8prL4ZB0eFBu6Mlhs_2hZ6hys_WOh8kY_2Co&dib_tag=se&keywords=lipo+battery&qid=1769452049&sprefix=LIPO+%2Caps%2C154&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
RC,$22.99,https://www.amazon.com/Happymodel-EP1-ELRS-FPV-Receiver/dp/B0FF56JX36/ref=sr_1_1?crid=3O9YEMGS0PDIV&dib=eyJ2IjoiMSJ9.yXnXOHNLgTWz81lS7zkvVmr40egnzFsSDiBEXCfkOFtvvdhfnOR6rIZo8p4vYgYiH3AhVHi9_BwjRBLHWGMWiMqV1roFsZlK4JByzwQQ8rt6fihg8lq50GN7NMBrTm8M3KAbr9ws1gUaDeNZPfTXooR5TBlZ6XixrV6nA5hKdK3MgbBKCZro96Io6ZTyxp3gMAySrNZFlDhHXYuw0zAB7MJBAzXEBBYt_Fiyc9BzLZbEYR1MFa67R4v1OHbr-W2VJcWJ_CPWKWHU-7MvENoWqTErq0T1rXUscAth7TONHDU.Xxc2G65raj3NgD3StMO4KdRTMke4XhEYzPHUYn2WCVU&dib_tag=se&keywords=ExpressLRS+EP1+%27&qid=1769452577&sprefix=expresslrs+ep1+%27%2Caps%2C125&sr=8-1
Camera,$29.99,https://www.amazon.com/FPV-Camera-RunCam-Phoenix-FOV160%C2%B0Global/dp/B0BQ2FVKWN/ref=sr_1_6?crid=1T6L2CTKNNVTA&dib=eyJ2IjoiMSJ9.tvdsbWGUJuymyTntla545BXDdtaAG-Tx-Ggar6rhVUcqu_6J_qDb_lbsGdFVP8o7DGlD8w9Ub6pRXq-u9mzRwmdIc17DOI9yaRFQcrVYLB1xdb6vRM1m98WO0yQWcuMF84xRbRwxDPaJSTdLL_ROvtn2QQOWd-rFQdaMKXaaVkwJZRY7abo7FORifIHxGUzZivsOd_5HTK-qhtRwY1aRS1I36_8_w1NYq7ddWqkQ8UYkpur_JyEzK6AJ2KcrMeGou0A3FM7JOtJdsNqZ9YZSzBWNpH5Oq_67EMHyrcRL5R0.e5zHWH1eGLCO4snkOrpIA57QeUhkhzCDdXLLUiloeck&dib_tag=se&keywords=drone+camera&qid=1769452857&sprefix=drone+camera%2Caps%2C139&sr=8-6
GPS,$18.99,https://www.amazon.com/HGLRC-M100-5883-GPS-Generation-Compatible/dp/B0CB5N8RQ8?crid=3ULY1F4QEFOQ7&dib=eyJ2IjoiMSJ9.M76jJU0VniWfYHROWjHmCm-4rClFDKjF08nItgztV2-FJVwrxKHaMyqW6G5dWuS3xPRcs_LP8phXMGlx-aKgcABUERDnAvcDgzABT_15D3OtCLNvV_QlJBI7uKqjPI8myvPu5z_sAZuBeUuWh0bIMdI2axjIjpwo_n1d1MqiWe45JebdI8fgSP59CB04G7L4br3JLWWTDARAg84jerQNSPbKhInnC4L8aVvwP6fcVXg.yp2g0-HincTIvjL6239d2xH8_cmPHuW4M4WJcsVM5o4&dib_tag=se&keywords=hglrc%2Bgps&qid=1759391990&sprefix=hglrc%2Bgp%2Caps%2C117&sr=8-6&th=1&linkCode=sl1&tag=feelalive0c4-20&linkId=4fdfdbf842e9933374e12d824e15b2f3&language=en_US&ref_=as_li_ss_tl
,$297.95,
